순위,상호,별점,별점 리뷰 개수,리뷰 개수,주소
28,파리바게뜨 정관달산점,5.0,1건,1,부산 기장군 정관읍 정관로 712 1층
29,아덴블랑제리 기장시장점,0.0,0건,4,부산 기장군 기장읍 읍내로 95
30,케익하우스 마듀,5.0,1건,1,부산 기장군 기장읍 기장대로 82-6 아우라시티 107호
31,파리바게뜨 정관롯데점,1.0,1건,0,부산 기장군 정관읍 정관4로 37
32,파리바게뜨 기장월내점,0.0,0건,0,부산 기장군 장안읍 해맞이로 424
33,토토롱마카롱,4.0,4건,5,부산 기장군 기장읍 차성동로87번길 8 1층
34,우리동네호두과자 기장일광점,5.0,1건,0,부산 기장군 일광읍 해송1로 33 상가 108호
35,파리바게뜨 일광해빛로점,0.0,0건,0,부산 기장군 일광읍 해빛1로 74 1층 107호
36,라이스베이커리,0.0,0건,0,부산 기장군 정관읍 구연로 22 301호
37,빵장수단팥빵 정관점,5.0,2건,0,부산 기장군 정관읍 정관7로 17-3
